73.9563268,18.5415076,0
73.9557461,18.5415114,1
73.9555073,18.5415114,2
73.9553384,18.5415127,3
73.9553062,18.5414987,4
73.9553048,18.541444,5
73.9553089,18.5411669,6
73.9553102,18.5410524,7
73.9553397,18.5410067,8
73.9554416,18.5409939,9
73.956017,18.5409952,10
73.9562664,18.5410016,11
73.9563187,18.5411173,12
73.9563013,18.5412292,13
73.9562597,18.5413309,14
73.9562517,18.5413881,15
73.9562812,18.5414631,16
73.9564048,18.5415086,17
73.956673,18.5415112,18
73.9568836,18.5415124,19
73.9570633,18.5415099,20
73.9571076,18.5415302,21
73.9572001,18.5416141,22
73.9572484,18.5416332,23
73.9572913,18.5416828,24
73.9572779,18.5417667,25
73.9572591,18.5418545,26
73.9572202,18.5418913,27
73.9571666,18.5418977,28
73.9570928,18.5418799,29
73.9568139,18.5418672,30
73.9566449,18.5418646,31
73.9563123,18.5418634,32
73.9561339,18.5418634,33
73.956091,18.5418824,34
73.9560776,18.5419422,35
73.9560736,18.5419765,36
73.9560387,18.5420045,37
73.9559515,18.542021,38
73.9558295,18.5420121,39
73.9555975,18.5420083,40
73.9553829,18.5420007,41
73.9552796,18.5420007,42
73.9572428,18.5419185,43
73.957228,18.5419948,44
73.9572065,18.542094,45
73.9571757,18.5421728,46
73.957161,18.5422427,47
73.9571797,18.5422796,48
73.9572186,18.5423063,49
73.9572629,18.5422898,50
73.957279,18.5422415,51
73.9572615,18.5422008,52
73.9572293,18.5421601,53
